ds,trend,yhat_lower,yhat_upper,yhat
2022-01-02,53270.077500222076,48897.97845750968,59923.79019277095,54303.79905017452
2022-01-03,53299.33237256032,49397.99618282337,59617.85998035517,54513.72555745105
2022-01-04,53328.58724489857,49252.46872252799,59927.2844373686,54631.66859701837
2022-01-05,53357.84211723682,49510.542121016086,60248.470151890615,54857.46400207963
2022-01-06,53387.09698957505,49654.8131526777,60029.48997032278,54912.87094164379
2022-01-07,53416.3518619133,49929.37284712402,60646.46680270541,55078.32099371306
2022-01-08,53445.60673425155,49535.732142104105,60166.60003179796,55195.36713070389
2022-01-09,53474.861606589795,49977.304044373464,60543.19080086951,55266.687371213775
2022-01-10,53504.11647892804,50007.41829008532,60991.00157558782,55304.96988209111
2022-01-11,53533.37135126627,49607.81054129528,61004.324314443154,55242.094969898404
2022-01-12,53562.62622360452,49792.4749328369,60762.36126437184,55281.58416912991
2022-01-13,53591.881095942765,49815.55018001778,60816.46084825709,55149.06350976611
2022-01-14,53621.13596828101,49574.37964504239,60425.175377897096,55128.925764025356
2022-01-15,53650.39084061926,49587.794298893474,60907.500337710444,55066.68910018212
2022-01-16,53679.64571295751,49445.35948684631,60519.94367062478,54968.909094474766
2022-01-17,53708.90058529574,49600.9013627206,60369.76729432435,54851.973137653506
2022-01-18,53738.15545763399,49355.739571056416,60321.695544585295,54651.19492606019
2022-01-19,53767.41032997224,48863.06666903614,60260.37816726562,54573.1814358173
2022-01-20,53796.665202310476,48815.11614004051,60241.556409759825,54346.22153766735
2022-01-21,53825.920074648726,48530.36586361128,59012.923110941476,54256.88295688698
2022-01-22,53855.174946986976,48906.51301242451,59424.012575645225,54152.31669034695
2022-01-23,53884.42981932522,48566.998027870635,59077.52568264812,54040.12725094778
2022-01-24,53913.68469166346,48523.845893444595,59477.1724605457,53937.138892157585
2022-01-25,53942.93956400171,48219.31748757778,59423.03614822483,53778.47628533537
2022-01-26,53972.19443633995,48508.71867813888,59083.545731915394,53769.93247589607
2022-01-27,54001.4493086782,48419.82731362951,59064.64615907,53638.37333520297
2022-01-28,54030.70418101644,48373.80685918247,58982.312000295686,53668.364900488465
2022-01-29,54059.95905335469,48401.85327132345,59139.700865108156,53704.522037504554
2022-01-30,54089.21392569294,48395.888242854155,59622.82745205087,53751.435769258576
2022-01-31,54118.468798031165,48594.13140026387,59194.60179215283,53822.508071969525
2022-02-01,54147.723670369414,48214.61309410457,59341.677449415554,53849.11096795059
2022-02-02,54176.97854270767,48349.764964853006,59194.495443056156,54033.04084800352
2022-02-03,54206.23341504591,48915.26506741241,59584.179520470614,54097.01514379171
2022-02-04,54235.48828738415,49051.08384484079,59472.42951660285,54321.39549600935
2022-02-05,54264.7431597224,48543.51180694369,59831.7700849876,54546.63351335186
2022-02-06,54293.99803206064,49138.9889734757,60528.07954063638,54773.29409213941
2022-02-07,54323.25290439888,49533.31295825743,60357.71863924186,55010.98275077217
2022-02-08,54352.50777673713,49902.59852946014,61014.62169812654,55187.59154804115
2022-02-09,54381.762649075376,50127.84364653551,61308.20868533487,55501.83240104436
2022-02-10,54411.017521413625,50088.74535450122,61376.72753954691,55673.803004094196
2022-02-11,54440.27239375186,50313.328432980634,61650.262409460185,55981.76782184815
2022-02-12,54469.52726609011,50608.10283118945,61764.113987587916,56264.648868062446
2022-02-13,54498.78213842836,51045.89718211299,62274.77624800682,56522.0801800884
2022-02-14,54528.037010766595,51062.64972310081,62356.00732809176,56763.3517339989
2022-02-15,54557.291883104845,50999.73673513767,62772.15672232162,56916.657027964226
2022-02-16,54586.546755443094,51284.89774717854,62746.36085691907,57181.613184061935
2022-02-17,54615.80162778134,51420.63238084788,63247.968852237806,57279.79917830197
2022-02-18,54645.05650011958,51885.356123834914,62899.959817226096,57491.49544305986
2022-02-19,54674.31137245783,51670.81185799902,63281.39692255505,57658.120665884606
2022-02-20,54703.566244796064,52262.616721336555,63165.90378677013,57782.221119397465
2022-02-21,54732.82111713432,52576.597616908686,63193.603104860216,57876.33996608983
2022-02-22,54762.07598947256,52677.54267585259,63308.01106891932,57872.182694220544
2022-02-23,54791.3308618108,52683.13375220026,63665.83891461154,57973.04964277354
2022-02-24,54820.58573414905,52352.056120329886,63090.61905100799,57904.28345724647
2022-02-25,54849.84060648729,51981.280771241676,63650.2711758907,57949.917018679655
2022-02-26,54879.09547882553,52371.92245788437,63543.01468508404,57955.01997489703
2022-02-27,54908.35035116378,52299.51104299557,63226.831749571116,57925.601461035185
2022-02-28,54937.605223502025,52429.832021348586,63227.720839044414,57877.39859513197
2022-03-01,54966.86009584027,52026.92107523373,63666.978936234846,57744.9688819749
2022-03-02,54996.11496817852,51915.71472066825,63150.52898636949,57734.059245088225
2022-03-03,55025.36984051676,51955.116418460035,62776.87142501892,57572.00103140138
2022-03-04,55054.624712855,51575.90466551998,63193.47003338878,57544.31773740101
2022-03-05,55083.87958519325,51838.624037794914,63014.96864450807,57497.0444665915
2022-03-06,55113.134457531494,51479.220214706584,62883.425540194614,57436.61724013135
2022-03-07,55142.389329869744,51423.9419833299,63169.87379631489,57378.66192383911
2022-03-08,55171.64420220799,51330.04001965067,62571.01474510038,57257.1007228861
2022-03-09,55200.89907454623,51346.11919441558,62774.21790063942,57276.5484304892
2022-03-10,55230.15394688448,51390.170404903074,63226.26371308624,57162.74690654946
2022-03-11,55259.40881922273,51703.69317897433,62928.472992146,57199.223356910996
2022-03-12,55288.66369156096,51266.255696181746,63082.06851479793,57229.66996873556
2022-03-13,55317.91856389921,51655.24870947864,62728.35628508884,57257.90133380521
2022-03-14,55347.17343623746,51509.0265736063,63284.896306618124,57296.7175434764
2022-03-15,55376.42830857569,51472.8457278671,62938.60958185642,57277.08888874946
2022-03-16,55405.68318091394,51744.979041189574,63288.87826852608,57400.632249779315
2022-03-17,55434.93805325218,51518.285314123925,63148.07710878866,57390.12552075558
2022-03-18,55464.19292559043,51785.98248430184,63231.732617483474,57526.24353915955
2022-03-19,55493.447797928675,52147.1838749852,63576.226652319354,57650.011056777475
2022-03-20,55522.70267026692,51973.939331192334,63762.701660182094,57762.827302266516
2022-03-21,55551.95754260517,52153.014611553175,63773.895092292434,57875.38832159994
2022-03-22,55581.21241494341,52328.741724035106,64064.24316106412,57916.92156027973
2022-03-23,55610.46728728165,52702.97747040968,64366.254943012595,58087.70156674852
2022-03-24,55639.7221596199,52248.1156920914,64070.60728964584,58109.59225213831
2022-03-25,55668.97703195815,52464.929516976474,64320.58079592147,58262.79858013439
2022-03-26,55698.231904296386,52688.371514810824,64234.94082005349,58388.32295747984
2022-03-27,55727.486776634636,52357.23042323955,64498.99758029281,58487.980940416055
2022-03-28,55756.741648972886,52440.103799654855,64637.74637011372,58573.30283633961
2022-03-29,55785.99652131113,52558.44315897911,64655.24594580149,58574.73637138825
2022-03-30,55815.25139364937,52820.66404739344,64445.08812729989,58694.120302211675
2022-03-31,55844.506265987606,52874.123567957446,64592.89887890591,58655.17566848604
2022-04-01,55873.76113832586,52492.19804142657,64435.113182464425,58740.19904774316
2022-04-02,55903.016010664105,52587.4092809329,64907.92761618935,58792.454755316314
2022-04-03,55932.27088300234,52883.81950163901,64885.49304933841,58816.12241497802
2022-04-04,55961.52575534059,53127.45546427977,65281.98792262053,58825.128378105954
2022-04-05,55990.78062767884,52511.97999965054,65006.15632785707,58752.27809727303
2022-04-06,56020.035500017075,52582.45939010149,65271.44950498128,58801.661252176724
2022-04-07,56049.290372355325,52342.81989503635,65025.671851309235,58699.07817734208
2022-04-08,56078.545244693574,53037.95216430007,65089.33847084537,58728.673690258205
2022-04-09,56107.80011703181,52782.47147411103,64987.170696752,58735.276838580074
2022-04-10,56137.05498937006,52362.80935080379,64585.43999148805,58724.30436585721
2022-04-11,56166.30986170831,52634.25290843666,65159.18088915401,58710.55751059899
2022-04-12,56195.56473404655,53076.11196634152,64571.62436774714,58627.33011636668
2022-04-13,56224.81960638479,52302.68898534233,65045.29353937988,58678.80043652816
2022-04-14,56254.07447872304,52825.90483563015,64793.52935557748,58590.45546965555
2022-04-15,56283.329351061286,52569.13110606459,65257.46566497466,58645.733906679234
2022-04-16,56312.58422339953,52877.6599400997,65186.16964079956,58688.385890012876
2022-04-17,56341.83909573777,52475.26445044687,65180.07587407814,58722.40677605062
2022-04-18,56371.09396807602,52867.46013949926,65143.808495764206,58760.87363701317
2022-04-19,56400.34884041427,52523.017641425424,65750.60297134207,58735.10135614285
2022-04-20,56429.603712752505,52218.65430266748,65130.07242548698,58847.08936348362
2022-04-21,56458.858585090755,52534.828937556355,65109.50176126559,58820.006336699196
2022-04-22,56488.113457429004,51968.01024247176,65094.192268421706,58934.897303150836
2022-04-23,56517.36832976724,52451.32059308299,65597.23484321809,59033.10961019379
2022-04-24,56546.62320210548,52798.55016796528,65368.3697033997,59116.29318026134
2022-04-25,56575.87807444374,52745.048259900854,66286.67973748958,59195.30201778747
2022-04-26,56605.132946781974,52358.44468406492,65925.03806018276,59199.412105708805
2022-04-27,56634.38781912022,52967.609248649795,65887.75305064117,59328.82512010914
2022-04-28,56663.642691458466,52595.430261163434,65704.18684504298,59305.203808145474
2022-04-29,56692.89756379671,52807.91744865782,65849.70677017262,59408.422163212446
2022-04-30,56722.15243613496,52524.73420541444,66438.67169561355,59479.02577158111
2022-05-01,56751.4073084732,52625.62466920657,66278.50371814611,59518.25689056559
2022-05-02,56780.66218081144,52543.66123751193,66265.2398081647,59536.97062497557
2022-05-03,56809.91705314969,53431.22323551224,65999.43358049744,59464.85700861627
2022-05-04,56839.17192548793,53064.288266151896,66254.79533273181,59502.9383634818
2022-05-05,56868.42679782618,51981.63347992383,66535.32993546028,59374.087999430354
2022-05-06,56897.68167016443,52965.00791711142,66011.1375765317,59359.75387071511
2022-05-07,56926.93654250267,52496.488190755685,66201.60842194708,59302.38329528676
2022-05-08,56956.19141484091,51780.83093411648,66657.05296867757,59205.40425582772
2022-05-09,56985.44628717916,52319.57536035211,66183.61066875061,59082.09080785574
2022-05-10,57014.701159517404,52021.27620699026,66062.20376989429,58864.72872738038
2022-05-11,57043.956031855654,52116.70116991978,65637.10261045075,58757.052227220425
2022-05-12,57073.2109041939,51541.759960958596,65240.96831234933,58484.69935260295
2022-05-13,57102.46577653213,51158.36474372523,65594.94205783926,58331.87127053321
2022-05-14,57131.72064887039,51338.140569772724,65454.38350220021,58143.693165297715
2022-05-15,57160.97552120863,50763.15846862312,64968.04482304958,57926.13383249397
2022-05-16,57190.230393546866,51112.045855675344,64869.072352900075,57694.81299733111
2022-05-17,57219.485265885116,50470.49414869264,65329.0197265462,57384.11387971685
2022-05-18,57248.74013822336,50529.93348809704,64034.97085804678,57199.57308097006
2022-05-19,57277.9950105616,50082.6704222155,63890.53088365584,56868.29647463596
2022-05-20,57307.24988289985,49268.65799023725,64318.67395585947,56675.58718929403
2022-05-21,57336.50475523809,49262.60704854331,63667.379174756235,56467.28405174193
2022-05-22,57365.759627576335,48950.999396199404,63336.29426744823,56249.66800856868
2022-05-23,57395.014499914585,48684.87882281761,62910.36518733686,56038.26574034283
2022-05-24,57424.26937225283,48910.79718892134,62996.52722991029,55766.967941792915
2022-05-25,57453.52424459108,48098.6405269447,62986.85110517513,55640.43406172257
2022-05-26,57482.77911692932,48241.79716172205,62846.697871791555,55384.53168369392
2022-05-27,57512.03398926756,48029.34348253707,62841.51534562069,55282.99593058975
2022-05-28,57541.28886160581,47855.970268095,63154.24645142307,55179.80637531518
2022-05-29,57570.54373394406,47499.21485357909,63065.07620323017,55079.13793428385
2022-05-30,57599.7986062823,47748.93532298235,62331.819081198715,54994.21379100566
2022-05-31,57629.053478620546,47431.134691386666,62060.3976547358,54856.47656277433
2022-06-01,57658.308350958796,47491.504791029496,62953.01428956202,54868.0481842951
2022-06-02,57687.56322329703,47259.973401352974,62818.33091129342,54752.22534436263
2022-06-03,57716.81809563528,47515.14271873438,62404.85020788787,54790.19452321528
2022-06-04,57746.072967973516,47664.130916270406,62813.77598193733,54823.46282000619
2022-06-05,57775.327840311766,46932.959512149966,62662.27582828115,54853.85982826699
2022-06-06,57804.58271265001,47354.95945874934,62621.03990768655,54892.4374905268
2022-06-07,57833.83758498825,47460.41966209506,62051.29571690812,54868.68315676379
2022-06-08,57863.0924573265,47428.39460379823,63031.46908102589,54983.015481204515
2022-06-09,57892.34732966474,47216.19737050854,63082.95984267246,54957.309320041364
2022-06-10,57921.602202002985,47270.296833581015,63237.09395189035,55071.63318187369
2022-06-11,57950.857074341235,46920.87575126716,63541.66641053764,55166.695109309745
2022-06-12,57980.111946679484,47513.443778338304,63570.34483444526,55243.85212540892
2022-06-13,58009.36681901772,47982.187009205096,63503.93976270493,55314.010235942944
2022-06-14,58038.62169135597,47823.97671307549,63013.620000794755,55306.83044844634
2022-06-15,58067.87656369422,47715.547828210445,63872.32259596221,55423.210843504196
2022-06-16,58097.131436032454,47484.12939923408,63453.55152115819,55385.79141073328
2022-06-17,58126.386308370704,47128.12568309304,63897.86061073316,55475.66588106685
2022-06-18,58155.64118070895,47658.67424990398,63863.87056414461,55534.79722176333
2022-06-19,58184.896053047196,47668.68578003302,63748.46169959053,55565.992800277076
2022-06-20,58214.15092538544,47077.33484147281,63819.84202716883,55581.76713974771
2022-06-21,58243.40579772367,46789.325962859766,63966.06149373925,55513.508692587246
2022-06-22,58272.66067006193,47215.882555887125,63965.030085265884,55563.921641246925
2022-06-23,58301.91554240018,47150.10077714457,64101.382040837576,55457.49039564344
2022-06-24,58331.17041473841,47002.79153448528,63635.347284368945,55477.15193595769
2022-06-25,58360.42528707666,46579.21413011878,64160.482100140805,55466.673523108686
2022-06-26,58389.68015941491,46932.70728037239,64015.05513360994,55430.59255892913
2022-06-27,58418.93503175314,46694.80547990504,63385.855935165615,55383.04719883905
2022-06-28,58448.18990409139,47234.04957102464,64166.461033420725,55256.91471508571
2022-06-29,58477.44477642964,46411.84095351948,65125.791023860904,55256.229073571514
2022-06-30,58506.699648767884,46625.11893849561,64262.07376618899,55106.625724463054
